"ALL TISSUES, SINGLE FREQUENCY","FREQUENCY = ",700000,"Hz"
"Tissue","Frequency","Conductivity","Relative","Loss","Wavelength","Penetration",
"name","[Hz]","[S/m]","permittivity","tangent","[m]","depth [m]",
Air               ,    7.000e+5,    0.000e-1,    1.000e+0,    0.000e-1,    4.283e+2,"N/A",
Aorta             ,    7.000e+5,    3.252e-1,    2.599e+2,    3.213e+1,    6.525e+0,    1.071e+0,
Bladder           ,    7.000e+5,    2.315e-1,    4.384e+2,    1.356e+1,    7.572e+0,    1.297e+0,
Blood             ,    7.000e+5,    7.784e-1,    3.687e+3,    5.421e+0,    3.909e+0,    7.473e-1,
BloodVessel       ,    7.000e+5,    3.252e-1,    2.599e+2,    3.213e+1,    6.525e+0,    1.071e+0,
BodyFluid         ,    7.000e+5,    1.500e+0,    8.805e+1,    4.376e+2,    3.082e+0,    4.916e-1,
BoneCancellous    ,    7.000e+5,    8.819e-2,    2.801e+2,    8.084e+0,    1.197e+1,    2.155e+0,
BoneCortical      ,    7.000e+5,    2.301e-2,    1.612e+2,    3.667e+0,    2.177e+1,    4.537e+0,
BoneMarrow        ,    7.000e+5,    4.005e-3,    4.387e+1,    2.344e+0,    4.854e+1,    1.170e+1,
BrainGreyMatter   ,    7.000e+5,    1.570e-1,    1.007e+3,    4.001e+0,    8.430e+0,    1.718e+0,
BrainWhiteMatter  ,    7.000e+5,    9.809e-2,    5.842e+2,    4.311e+0,    1.076e+1,    2.155e+0,
BreastFat         ,    7.000e+5,    2.556e-2,    2.704e+1,    2.428e+1,    2.316e+1,    3.841e+0,
Cartilage         ,    7.000e+5,    2.141e-1,    1.692e+3,    3.250e+0,    7.020e+0,    1.513e+0,
Cerebellum        ,    7.000e+5,    1.781e-1,    1.292e+3,    3.538e+0,    7.791e+0,    1.639e+0,
CerebroSpinalFluid,    7.000e+5,    2.000e+0,    1.090e+2,    4.712e+2,    2.670e+0,    4.258e-1,
Cervix            ,    7.000e+5,    5.593e-1,    5.218e+2,    2.753e+1,    4.963e+0,    8.191e-1,
Colon             ,    7.000e+5,    2.932e-1,    2.042e+3,    3.687e+0,    6.105e+0,    1.270e+0,
Cornea            ,    7.000e+5,    6.117e-1,    3.780e+3,    4.156e+0,    4.290e+0,    8.665e-1,
Duodenum          ,    7.000e+5,    5.653e-1,    1.897e+3,    7.653e+0,    4.710e+0,    8.539e-1,
Dura              ,    7.000e+5,    5.029e-1,    2.586e+2,    4.993e+1,    5.277e+0,    8.568e-1,
EyeSclera         ,    7.000e+5,    5.860e-1,    2.760e+3,    5.451e+0,    4.507e+0,    8.609e-1,
Fat               ,    7.000e+5,    2.494e-2,    3.043e+1,    2.105e+1,    2.337e+1,    3.901e+0,
GallBladder       ,    7.000e+5,    9.002e-1,    1.007e+2,    2.297e+2,    3.975e+0,    6.354e-1,
GallBladderBile   ,    7.000e+5,    1.400e+0,    1.200e+2,    2.996e+2,    3.189e+0,    5.092e-1,
Gland             ,    7.000e+5,    5.816e-1,    1.813e+3,    8.239e+0,    4.665e+0,    8.380e-1,
Heart             ,    7.000e+5,    3.019e-1,    2.581e+3,    3.003e+0,    5.841e+0,    1.289e+0,
Kidney            ,    7.000e+5,    2.504e-1,    2.835e+3,    2.268e+0,    6.099e+0,    1.489e+0,
Lens              ,    7.000e+5,    3.610e-1,    1.384e+3,    6.700e+0,    5.840e+0,    1.078e+0,
Liver             ,    7.000e+5,    1.666e-1,    2.098e+3,    2.040e+0,    7.311e+0,    1.866e+0,
LungDeflated      ,    7.000e+5,    3.192e-1,    1.514e+3,    5.416e+0,    6.103e+0,    1.167e+0,
LungInflated      ,    7.000e+5,    1.285e-1,    8.725e+2,    3.781e+0,    9.253e+0,    1.913e+0,
Lymph             ,    7.000e+5,    5.816e-1,    1.813e+3,    8.239e+0,    4.665e+0,    8.380e-1,
MucousMembrane    ,    7.000e+5,    1.991e-1,    2.587e+3,    1.977e+0,    6.641e+0,    1.719e+0,
Muscle            ,    7.000e+5,    4.742e-1,    2.678e+3,    4.547e+0,    4.921e+0,    9.742e-1,
Nail              ,    7.000e+5,    2.301e-2,    1.612e+2,    3.667e+0,    2.177e+1,    4.537e+0,
Nerve             ,    7.000e+5,    1.196e-1,    1.184e+3,    2.594e+0,    9.055e+0,    2.100e+0,
Oesophagus        ,    7.000e+5,    5.653e-1,    1.897e+3,    7.653e+0,    4.710e+0,    8.539e-1,
Ovary             ,    7.000e+5,    3.535e-1,    7.682e+2,    1.182e+1,    6.094e+0,    1.055e+0,
Pancreas          ,    7.000e+5,    5.816e-1,    1.813e+3,    8.239e+0,    4.665e+0,    8.380e-1,
